iter	Passed	Remaining
0	641	640436
1	794	396542
2	926	307973
3	1118	278517
4	1436	285784
5	1544	255872
6	1603	227508
7	1880	233155
8	2227	245301
9	2323	229991
10	2495	224400
11	2547	209763
12	2701	205071
13	2766	194849
14	2917	191609
15	3167	194800
16	3226	186546
17	3566	194551
18	3663	189173
19	3936	192897
20	4154	193697
21	4340	192936
22	4483	190432
23	4714	191736
24	5099	198899
25	5205	195022
26	5348	192728
27	5689	197496
28	5793	193969
29	6062	196007
30	6390	199757
31	6537	197766
32	6666	195342
33	7203	204670
34	7669	211470
35	7902	211616
36	8147	212063
37	8383	212226
38	8665	213516
39	8702	208863
40	8818	206274
41	9382	214016
42	9415	209552
43	9860	214245
44	10367	220025
45	10830	224609
46	11318	229494
47	11620	230470
48	11753	228118
49	11825	224688
50	12238	227724
51	12681	231197
52	13155	235053
53	13256	232229
54	13766	236534
55	14336	241667
56	14508	240033
57	15033	244166
58	15542	247895
59	16002	250703
60	16083	247584
61	16496	249569
62	16634	247409
63	17070	249655
64	17570	252739
65	18015	254944
66	18477	257308
67	18546	254195
68	18590	250843
69	18622	247416
70	19131	250328
71	19668	253506
72	19770	251052
73	20319	254266
74	20426	251931
75	20918	254320
76	21149	253521
77	21620	255567
78	22084	257463
79	22613	260051
80	23169	262868
81	23371	261644
82	23876	263789
83	23962	261306
84	24529	264048
85	24691	262415
86	24830	260578
87	25356	262786
88	25390	259893
89	25462	257458
90	25970	259420
91	26454	261090
92	26983	263166
93	27497	265031
94	28009	266829
95	28535	268704
96	29047	270412
97	29555	272033
98	29626	269631
99	29659	266933
100	30168	268533
101	30663	269958
102	31188	271614
103	31725	273326
104	32264	275019
105	32336	272728
106	32830	273999
107	32911	271826
108	33439	273348
109	33885	274163
110	34338	275015
111	34372	272526
112	34880	273792
113	35427	275343
114	35948	276650
115	36485	278043
116	37056	279664
117	37594	281003
118	37628	278579
119	37844	277528
120	38387	278861
121	38511	277160
122	38996	278049
123	39498	279038
124	39984	279891
125	40140	278437
126	40623	279245
127	40687	277184
128	41068	277291
129	41132	275268
130	41645	276256
131	41708	274261
132	42219	275222
133	42676	275804
134	43195	276774
135	43774	278094
136	43914	276627
137	44422	277476
138	44960	278495
139	45514	279590
140	46038	280477
141	46139	278785
142	46717	279978
143	47284	281079
144	47316	279004
145	47389	277194
146	47424	275189
147	47984	276236
148	48525	277149
149	49092	278189
150	49599	278875
151	50133	279692
152	50775	281092
153	50934	279811
154	51562	281096
155	52186	282340
156	52427	281505
157	52768	281209
158	53269	281760
159	53301	279834
160	53424	278407
161	53915	278894
162	54456	279631
163	54908	279900
164	54940	278033
165	55049	276573
166	55593	277302
167	55624	275472
168	56180	276247
169	56694	276800
170	57193	277271
171	57712	277825
172	58219	278310
173	58720	278755
174	59275	279440
175	59754	279758
176	59882	278434
177	60030	277219
178	60491	277450
179	60946	277646
180	61485	278213
181	62022	278762
182	62544	279229
183	63048	279607
184	63538	279912
185	64029	280215
186	64129	278809
187	64177	277191
188	64656	277439
189	65209	277997
190	65407	277042
191	65660	276321
192	65694	274693
193	66245	275224
194	66754	275575
195	67109	275285
196	67629	275668
197	68170	276123
198	68213	274566
199	68763	275053
200	69308	275509
201	69787	275694
202	70242	275778
203	70674	275767
204	71185	276060
205	71679	276281
206	71746	274856
207	72279	275217
208	72796	275512
209	73363	275987
210	73874	276240
211	74140	275580
212	74302	274533
213	74815	274790
214	75294	274912
215	75766	275004
216	76296	275299
217	76731	275248
218	76792	273856
219	77343	274216
220	77805	274255
221	77909	273035
222	78376	273088
223	78940	273473
224	78971	272011
225	79491	272240
226	79982	272362
